Year,EEZID,countrycode,GDP_SSP1,GDP_SSP3,GDP_SSP5,Population_SSP1,Population_SSP3,Population_SSP5,SeafoodConsumption_SSP1,SeafoodConsumption_SSP3,SeafoodConsumption_SSP5
2055,84,BLZ,25567,11282,32522,39747.81611,154880.6379,34702.10889,21.28913605,17.07207784,22.71723148
2056,84,BLZ,26360.4,11432.4,33742,38769.94972,155269.6183,33724.32255,21.46541973,17.1331929,22.94410251
2057,84,BLZ,27153.8,11582.8,34962,37792.08332,155658.5987,32746.53622,21.63787078,17.19372369,23.16506071
2058,84,BLZ,27947.2,11733.2,36182,36814.21692,156047.5792,31768.74988,21.80668095,17.25368328,23.3804587
2059,84,BLZ,28740.6,11883.6,37402,35836.35053,156436.5596,30790.96355,21.97202729,17.31308428,23.59061702
2060,84,BLZ,29534,12034,38622,34858.48413,156825.54,29813.17722,22.13407362,17.37193886,23.79582799
2061,84,BLZ,30387.4,12194.8,39990.6,33977.08573,157029.4045,28958.534,22.30486436,17.43427208,24.02047664
2062,84,BLZ,31240.8,12355.6,41359.2,33095.68734,157233.269,28103.89079,22.47218794,17.49600802,24.23957979
2063,84,BLZ,32094.2,12516.4,42727.8,32214.28894,157437.1335,27249.24758,22.63620664,17.55716006,24.45345123
2064,84,BLZ,32947.6,12677.2,44096.4,31332.89055,157640.9979,26394.60437,22.79707106,17.61774113,24.66237763
2065,84,BLZ,33801,12838,45465,30451.49215,157844.8624,25539.96116,22.95492128,17.67776369,24.86662163
2066,84,BLZ,34667.8,13018,46903.4,29687.45134,157801.7292,24821.74169,23.11229871,17.74430546,25.07649979
2067,84,BLZ,35534.6,13198,48341.8,28923.41052,157758.596,24103.52221,23.26682868,17.81017878,25.28172957
2068,84,BLZ,36401.4,13378,49780.2,28159.3697,157715.4627,23385.30274,23.41863033,17.87539934,25.48254778
2069,84,BLZ,37268.2,13558,51218.6,27395.32888,157672.3295,22667.08326,23.56781511,17.93998227,25.67917271
2070,84,BLZ,38135,13738,52657,26631.28806,157629.1963,21948.86379,23.71448745,18.00394214,25.87180608
2071,84,BLZ,39000.2,13930.2,54192.2,25968.34862,157380.3255,21331.66303,23.85848125,18.07156509,26.07321005
2072,84,BLZ,39865.4,14122.4,55727.4,25305.40917,157131.4548,20714.46228,24.00016113,18.13851018,26.27049011
2073,84,BLZ,40730.6,14314.6,57262.6,24642.46973,156882.584,20097.26152,24.1396133,18.2047933,26.46384088
2074,84,BLZ,41595.8,14506.8,58797.8,23979.53028,156633.7133,19480.06076,24.27691903,18.27042973,26.65344292
2075,84,BLZ,42461,14699,60333,23316.59084,156384.8425,18862.86,24.41215497,18.33543424,26.83946399
2076,84,BLZ,43402.4,14896,62044,22716.06057,155962.8832,18331.1246,24.5570348,18.40142127,27.04275805
2077,84,BLZ,44343.8,15093,63755,22115.53031,155540.9239,17799.38919,24.69963796,18.46677414,27.24199886
2078,84,BLZ,45285.2,15290,65466,21515.00005,155118.9645,17267.65378,24.84004744,18.53150711,27.43737283
2079,84,BLZ,46226.6,15487,67177,20914.46978,154697.0052,16735.91837,24.97834157,18.59563392,27.62905321
2080,84,BLZ,47168,15684,68888,20313.93952,154275.0459,16204.18297,25.11459432,18.65916787,27.81720128
2081,84,BLZ,48129,15881.6,70767.2,19792.46159,153668.2591,15745.80421,25.25165098,18.72231265,28.01995378
2082,84,BLZ,49090,16079.2,72646.4,19270.98366,153061.4723,15287.42546,25.38672377,18.78488634,28.21881232
2083,84,BLZ,50051,16276.8,74525.6,18749.50574,152454.6855,14829.0467,25.51987941,18.84690105,28.41394958
2084,84,BLZ,51012,16474.4,76404.8,18228.02781,151847.8987,14370.66795,25.65118116,18.90836846,28.60552644
2085,84,BLZ,51973,16672,78284,17706.54989,151241.112,13912.2892,25.78068903,18.96929989,28.7936931
2086,84,BLZ,53008,16878.4,80351,17233.92239,150404.1506,13516.5844,25.91822835,19.03238439,28.99689329
2087,84,BLZ,54043,17084.8,82418,16761.29489,149567.1892,13120.8796,26.05382057,19.0949081,29.19631179
2088,84,BLZ,55078,17291.2,84485,16288.66739,148730.2278,12725.17479,26.18752975,19.1568827,29.39211125
2089,84,BLZ,56113,17497.6,86552,15816.03989,147893.2665,12329.46999,26.31941671,19.21831947,29.58444352
2090,84,BLZ,57148,17704,88619,15343.41239,147056.3051,11933.76519,26.44953921,19.27922935,29.77345065
2091,84,BLZ,58286.8,17919.2,90942.8,14916.308,146028.8968,11592.10487,26.59073844,19.34218652,29.98213435
2092,84,BLZ,59425.6,18134.4,93266.6,14489.20361,145001.4885,11250.44454,26.72993746,19.40459402,30.18696009
2093,84,BLZ,60564.4,18349.6,95590.4,14062.09922,143974.0802,10908.78422,26.86720216,19.46646309,30.38809272
2094,84,BLZ,61703.2,18564.8,97914.2,13634.99483,142946.6718,10567.12389,27.00259503,19.52780461,30.58568623
2095,84,BLZ,62842,18780,100238,13207.89044,141919.2635,10225.46357,27.13617546,19.58862911,30.77988472
2096,84,BLZ,64042.4,19001.4,102827.2,12830.00583,140736.3179,9929.937336,27.27508155,19.65067718,30.99242856
2097,84,BLZ,65242.8,19222.8,105416.4,12452.12121,139553.3724,9634.411104,27.41209936,19.71219958,31.20109982
2098,84,BLZ,66443.2,19444.2,108005.6,12074.2366,138370.4268,9338.884872,27.54728861,19.77320675,31.40606162
2099,84,BLZ,67643.6,19665.6,110594.8,11696.35198,137187.4812,9043.35864,27.68070609,19.8337088,31.60746652
2100,84,BLZ,68844,19887,113184,11318.46737,136004.5356,8747.832407,27.81240586,19.89371553,31.80545738
1981,76,BRA,2371.64932,2371.64932,2371.64932,124505397,124505397,124505397,5.653251132,5.653251132,5.653251132
1981,77,BRA,2371.64932,2371.64932,2371.64932,124505397,124505397,124505397,5.653251132,5.653251132,5.653251132
1981,969,BRA,2371.64932,2371.64932,2371.64932,124505397,124505397,124505397,5.653251132,5.653251132,5.653251132
1981,970,BRA,2371.64932,2371.64932,2371.64932,124505397,124505397,124505397,5.653251132,5.653251132,5.653251132
1982,76,BRA,2226.767261,2226.767261,2226.767261,127299334,127299334,127299334,5.55790725,5.55790725,5.55790725
1982,77,BRA,2226.767261,2226.767261,2226.767261,127299334,127299334,127299334,5.55790725,5.55790725,5.55790725
1982,969,BRA,2226.767261,2226.767261,2226.767261,127299334,127299334,127299334,5.55790725,5.55790725,5.55790725
1982,970,BRA,2226.767261,2226.767261,2226.767261,127299334,127299334,127299334,5.55790725,5.55790725,5.55790725
1983,76,BRA,1977.175121,1977.175121,1977.175121,130093271,130093271,130093271,5.382445663,5.382445663,5.382445663
1983,77,BRA,1977.175121,1977.175121,1977.175121,130093271,130093271,130093271,5.382445663,5.382445663,5.382445663
1983,969,BRA,1977.175121,1977.175121,1977.175121,130093271,130093271,130093271,5.382445663,5.382445663,5.382445663
1983,970,BRA,1977.175121,1977.175121,1977.175121,130093271,130093271,130093271,5.382445663,5.382445663,5.382445663
1984,76,BRA,1578.926417,1578.926417,1578.926417,132887208,132887208,132887208,5.065484892,5.065484892,5.065484892
1984,77,BRA,1578.926417,1578.926417,1578.926417,132887208,132887208,132887208,5.065484892,5.065484892,5.065484892
1984,969,BRA,1578.926417,1578.926417,1578.926417,132887208,132887208,132887208,5.065484892,5.065484892,5.065484892
1984,970,BRA,1578.926417,1578.926417,1578.926417,132887208,132887208,132887208,5.065484892,5.065484892,5.065484892
1985,76,BRA,1729.692958,1729.692958,1729.692958,135681145,135681145,135681145,5.191687259,5.191687259,5.191687259
1985,77,BRA,1729.692958,1729.692958,1729.692958,135681145,135681145,135681145,5.191687259,5.191687259,5.191687259
1985,969,BRA,1729.692958,1729.692958,1729.692958,135681145,135681145,135681145,5.191687259,5.191687259,5.191687259
1985,970,BRA,1729.692958,1729.692958,1729.692958,135681145,135681145,135681145,5.191687259,5.191687259,5.191687259
1986,76,BRA,1941.491109,1941.491109,1941.491109,138475082,138475082,138475082,5.356058477,5.356058477,5.356058477
1986,77,BRA,1941.491109,1941.491109,1941.491109,138475082,138475082,138475082,5.356058477,5.356058477,5.356058477
1986,969,BRA,1941.491109,1941.491109,1941.491109,138475082,138475082,138475082,5.356058477,5.356058477,5.356058477
1986,970,BRA,1941.491109,1941.491109,1941.491109,138475082,138475082,138475082,5.356058477,5.356058477,5.356058477
1987,76,BRA,2328.221623,2328.221623,2328.221623,141269019,141269019,141269019,5.625129416,5.625129416,5.625129416
1987,77,BRA,2328.221623,2328.221623,2328.221623,141269019,141269019,141269019,5.625129416,5.625129416,5.625129416
1987,969,BRA,2328.221623,2328.221623,2328.221623,141269019,141269019,141269019,5.625129416,5.625129416,5.625129416
1987,970,BRA,2328.221623,2328.221623,2328.221623,141269019,141269019,141269019,5.625129416,5.625129416,5.625129416
1988,76,BRA,2300.376844,2300.376844,2300.376844,144062956,144062956,144062956,5.606896339,5.606896339,5.606896339
1988,77,BRA,2300.376844,2300.376844,2300.376844,144062956,144062956,144062956,5.606896339,5.606896339,5.606896339
1988,969,BRA,2300.376844,2300.376844,2300.376844,144062956,144062956,144062956,5.606896339,5.606896339,5.606896339
1988,970,BRA,2300.376844,2300.376844,2300.376844,144062956,144062956,144062956,5.606896339,5.606896339,5.606896339
1989,76,BRA,2908.496158,2908.496158,2908.496158,146856893,146856893,146856893,5.97325105,5.97325105,5.97325105
1989,77,BRA,2908.496158,2908.496158,2908.496158,146856893,146856893,146856893,5.97325105,5.97325105,5.97325105
1989,969,BRA,2908.496158,2908.496158,2908.496158,146856893,146856893,146856893,5.97325105,5.97325105,5.97325105
1989,970,BRA,2908.496158,2908.496158,2908.496158,146856893,146856893,146856893,5.97325105,5.97325105,5.97325105
